University Name,University Code,College Name,College Code,Course Name,Course Duration,Medium,Address,Finance Type,Management Type,Intake Seats,NAAC Grade,NAAC CGPA
KAKATIYA UNIVERSITY,2,"ABV Government Degree College (Autonomous),Jangaon, Dist. Warangal(2023)",2023,"B.A(CBCS) - Mathematics,History, Economics, Psychology(MOOCs),Political Science,Communicative English, Mass Communication & Journalism(MOOCs),Geography(MOOCs),Sociology(MOOCs),Public Administration,Computer Applications,",3 Years,English,Dist. Warangal,Restructured,Government (Autonomous),60,B,2.49
KAKATIYA UNIVERSITY,2,"ABV Government Degree College (Autonomous),Jangaon, Dist. Warangal(2023)",2023,"B.A(CBCS) - History, Economics, Political Science, Computer Applications,Public Administration,",3 Years,Telugu,Dist. Warangal,Restructured,Government (Autonomous),60,B,2.49
KAKATIYA UNIVERSITY,2,"ABV Government Degree College (Autonomous),Jangaon, Dist. Warangal(2023)",2023,B.Com.(Computer Applications),3 Years,English,Dist. Warangal,Restructured,Government (Autonomous),180,B,2.49
KAKATIYA UNIVERSITY,2,"ABV Government Degree College (Autonomous),Jangaon, Dist. Warangal(2023)",2023,"B.Sc. Life Science(CBCS) - Botany, Zoology, Psychology(MOOCs),Chemistry, Computer Science,",3 Years,English,Dist. Warangal,Restructured,Government (Autonomous),60,B,2.49
KAKATIYA UNIVERSITY,2,"ABV Government Degree College (Autonomous),Jangaon, Dist. Warangal(2023)",2023,"B.Sc. Life Science(CBCS) - Botany, Zoology, Chemistry, Computer Science,",3 Years,Telugu,Dist. Warangal,Restructured,Government (Autonomous),0,B,2.49
KAKATIYA UNIVERSITY,2,"ABV Government Degree College (Autonomous),Jangaon, Dist. Warangal(2023)",2023,"B.Sc. Physical Science(CBCS) - Mathematics, Physics, Chemistry, Economics,Computer Science,",3 Years,English,Dist. Warangal,Restructured,Government (Autonomous),60,B,2.49
KAKATIYA UNIVERSITY,2,"Acharya Degree College, Narsampet, Warangal, H. No. 8-8/1, Near Police Station, Ambedkar Centre, Narsampet, Warangal Rural (2276)",2276,"B.A(CBCS) - History, Political Science, Computer Applications,",3 Years,English,"H. No. 8-8/1, Near Police Station, 
Ambedkar Centre, Narsampet, Warangal Rural",Self-Financed,Private Unaided,60,Not accredited,-
KAKATIYA UNIVERSITY,2,"Acharya Degree College, Narsampet, Warangal, H. No. 8-8/1, Near Police Station, Ambedkar Centre, Narsampet, Warangal Rural (2276)",2276,"B.A(CBCS) - History, Economics, Political Science,",3 Years,Telugu,"H. No. 8-8/1, Near Police Station, 
Ambedkar Centre, Narsampet, Warangal Rural",Self-Financed,Private Unaided,60,Not accredited,-
KAKATIYA UNIVERSITY,2,"Acharya Degree College, Narsampet, Warangal, H. No. 8-8/1, Near Police Station, Ambedkar Centre, Narsampet, Warangal Rural (2276)",2276,B.Com.(Computer Applications),3 Years,English,"H. No. 8-8/1, Near Police Station, 
Ambedkar Centre, Narsampet, Warangal Rural",Self-Financed,Private Unaided,120,Not accredited,-
KAKATIYA UNIVERSITY,2,"Acharya Degree College, Narsampet, Warangal, H. No. 8-8/1, Near Police Station, Ambedkar Centre, Narsampet, Warangal Rural (2276)",2276,B.Com.(General),3 Years,English,"H. No. 8-8/1, Near Police Station, 
Ambedkar Centre, Narsampet, Warangal Rural",Self-Financed,Private Unaided,60,Not accredited,-
KAKATIYA UNIVERSITY,2,"Acharya Degree College, Narsampet, Warangal, H. No. 8-8/1, Near Police Station, Ambedkar Centre, Narsampet, Warangal Rural (2276)",2276,"B.Sc. Life Science(CBCS) - Botany, Zoology, Chemistry,",3 Years,English,"H. No. 8-8/1, Near Police Station, 
Ambedkar Centre, Narsampet, Warangal Rural",Self-Financed,Private Unaided,60,Not accredited,-
KAKATIYA UNIVERSITY,2,"Acharya Degree College, Narsampet, Warangal, H. No. 8-8/1, Near Police Station, Ambedkar Centre, Narsampet, Warangal Rural (2276)",2276,"B.Sc. Life Science(CBCS) - Botany, Zoology, Chemistry,",3 Years,Telugu,"H. No. 8-8/1, Near Police Station, 
Ambedkar Centre, Narsampet, Warangal Rural",Self-Financed,Private Unaided,0,Not accredited,-
